2025-04-12 11:26:52.242 [info] Reading sessions from keychain...
2025-04-12 11:26:52.242 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.242 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.242 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.242 [info] Got 0 sessions for ...
2025-04-12 11:26:52.242 [info] Got 0 sessions for ...
2025-04-12 11:26:52.242 [info] Got 0 sessions for ...
2025-04-12 11:26:52.266 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.266 [info] Got 0 sessions for ...
2025-04-12 11:26:52.266 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.266 [info] Got 0 sessions for ...
2025-04-12 11:26:52.267 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.267 [info] Got 0 sessions for ...
2025-04-12 11:26:52.267 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.267 [info] Got 0 sessions for ...
2025-04-12 11:26:52.267 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.267 [info] Got 0 sessions for ...
2025-04-12 11:26:52.885 [info] Getting sessions for all scopes...
2025-04-12 11:26:52.885 [info] Got 0 sessions for ...
2025-04-12 11:26:53.666 [info] Getting sessions for all scopes...
2025-04-12 11:26:53.666 [info] Got 0 sessions for ...
2025-04-12 11:26:59.669 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-04-12 11:26:59.669 [info] Got 0 sessions for read:user,repo,user:email,workflow...
